dataset_name,combo_name,num_images,feature_side,ambient_dim,pr,two_nn_mle,top_eigenvalue,sum_eigenvalues
natural_cat,none,20,24,1728,8.650258808500768,12.903923583119697,14.7545645364327,62.06364692639288
natural_cat,add_random_noise,20,24,1728,8.692054602775372,13.152041525752768,14.415715605196784,60.9252340574004
natural_cat,low_pass_gaussian,20,24,1728,8.001054601442824,12.902343084532772,14.406601576034834,57.06266382543032
natural_cat,high_pass_gaussian,20,24,1728,15.603936637082654,23.015022621614616,0.07755452958244519,0.7814815696372901
natural_cat,rainbow_border,20,24,1728,7.753449214529075,10.900976065948127,13.4726760776799,49.329353979102336
natural_cat,add_random_noise__low_pass_gaussian,20,24,1728,8.015121358130065,13.154130059819332,14.068893117027208,55.78063342316179
natural_cat,add_random_noise__high_pass_gaussian,20,24,1728,15.906848813757037,27.454545519071267,0.07727835387392773,0.8094135223858293
natural_cat,add_random_noise__rainbow_border,20,24,1728,7.825990216922715,10.986141717959018,13.142691104084072,48.44665706980172
natural_cat,low_pass_gaussian__high_pass_gaussian,20,24,1728,15.005117323396503,17.76661262572148,0.03083550523951519,0.2867174339525399
natural_cat,low_pass_gaussian__rainbow_border,20,24,1728,7.10327324988168,10.124258011318851,13.141010327661505,45.126978887782265
natural_cat,high_pass_gaussian__rainbow_border,20,24,1728,15.365875726323859,28.21905875235228,0.06991407685560896,0.6965718707368155
natural_cat,add_random_noise__low_pass_gaussian__high_pass_gaussian,20,24,1728,15.252918891016357,19.451427333843352,0.030465315795279158,0.28771065611554936
natural_cat,add_random_noise__low_pass_gaussian__rainbow_border,20,24,1728,7.107248320757104,10.14535578802691,12.907767149145645,44.28432541032449
natural_cat,add_random_noise__high_pass_gaussian__rainbow_border,20,24,1728,15.782895335354516,33.394943577956695,0.06992683452534548,0.7254282485908737
natural_cat,low_pass_gaussian__high_pass_gaussian__rainbow_border,20,24,1728,14.668946402811809,19.96980365654206,0.027867816282400815,0.24144504825584645
natural_cat,add_random_noise__low_pass_gaussian__high_pass_gaussian__rainbow_border,20,24,1728,14.90681140876867,18.857360002548024,0.027309355529692252,0.24302371812242957
synthetic_cat_peng2023robust,none,20,24,1728,16.41149509564841,42.93608586255572,11.437790389457323,107.42950091449437
synthetic_cat_peng2023robust,add_random_noise,20,24,1728,16.466492147729095,44.57950534201847,10.35959567628192,97.85751624546366
synthetic_cat_peng2023robust,low_pass_gaussian,20,24,1728,15.494941391168364,38.7067806220013,9.200589222040838,76.68079204626807
synthetic_cat_peng2023robust,high_pass_gaussian,20,24,1728,17.674450209471413,71.26524548963832,0.5181044913466988,5.829223798819833
synthetic_cat_peng2023robust,rainbow_border,20,24,1728,16.19974827828077,40.409709802446415,8.795005627816705,84.70212041006167
synthetic_cat_peng2023robust,add_random_noise__low_pass_gaussian,20,24,1728,15.54147759338634,39.730280405736494,8.318511590349866,69.72118918814748
synthetic_cat_peng2023robust,add_random_noise__high_pass_gaussian,20,24,1728,17.722472344136648,75.6084129486597,0.4755587399924603,5.377856668329413
synthetic_cat_peng2023robust,add_random_noise__rainbow_border,20,24,1728,16.23229319425931,41.757809004809495,7.989730379485141,77.26551839277633
synthetic_cat_peng2023robust,low_pass_gaussian__high_pass_gaussian,20,24,1728,17.242565516599186,72.36041285848012,0.20627145039094993,2.146535270005764
synthetic_cat_peng2023robust,low_pass_gaussian__rainbow_border,20,24,1728,15.314556577070164,30.79376563590887,6.8916786575383675,58.67693097763092
synthetic_cat_peng2023robust,high_pass_gaussian__rainbow_border,20,24,1728,17.5339877219184,78.74168762509395,0.44803321076249736,4.969934872786397
synthetic_cat_peng2023robust,add_random_noise__low_pass_gaussian__high_pass_gaussian,20,24,1728,17.276279719039156,75.2459917248418,0.1880756039323291,1.9628507805382853
synthetic_cat_peng2023robust,add_random_noise__low_pass_gaussian__rainbow_border,20,24,1728,15.353734485095716,31.51850993783317,6.2389360381653844,53.38213804430734
synthetic_cat_peng2023robust,add_random_noise__high_pass_gaussian__rainbow_border,20,24,1728,17.551934164532792,85.55714712355925,0.41319086369641067,4.587177035556537
synthetic_cat_peng2023robust,low_pass_gaussian__high_pass_gaussian__rainbow_border,20,24,1728,16.900183822163946,67.94263008670228,0.17963861114179921,1.800435371812291
synthetic_cat_peng2023robust,add_random_noise__low_pass_gaussian__high_pass_gaussian__rainbow_border,20,24,1728,16.94425105381328,71.80753240244495,0.16387098919735044,1.6487228258698032
random_noise,none,20,24,1728,18.681943609281994,120.35193436977738,0.24463171950536436,3.779279203967661
random_noise,add_random_noise,20,24,1728,18.6983194565985,124.58750807068148,0.25014970609735904,3.910740461262634
random_noise,low_pass_gaussian,20,24,1728,18.408548901485407,91.4565842601839,0.1245451650503563,1.8245474263183885
random_noise,high_pass_gaussian,20,24,1728,18.75212953507339,107.03772523962381,0.045667177859808644,0.7288965127484757
random_noise,rainbow_border,20,24,1728,18.653289239227124,145.69611006641975,0.2017120929665855,3.051425115528026
random_noise,add_random_noise__low_pass_gaussian,20,24,1728,18.414359276062648,106.06835936139728,0.1291936959121554,1.8966807724207067
random_noise,add_random_noise__high_pass_gaussian,20,24,1728,18.71988388107249,96.9163888708001,0.049067710804931164,0.7710065127452135
random_noise,add_random_noise__rainbow_border,20,24,1728,18.666974992819423,117.36083541668893,0.20696657325945123,3.1544305448405203
random_noise,low_pass_gaussian__high_pass_gaussian,20,24,1728,18.701685423126644,139.17507467405463,0.008221575180201382,0.12659179327318335
random_noise,low_pass_gaussian__rainbow_border,20,24,1728,18.34525504868277,111.03297809778175,0.09554083552262682,1.3559822774534447
random_noise,high_pass_gaussian__rainbow_border,20,24,1728,18.71285542512417,88.34459158457457,0.04353501628041101,0.6818855177068263
random_noise,add_random_noise__low_pass_gaussian__high_pass_gaussian,20,24,1728,18.70404505308974,128.60409326486715,0.008464444600310705,0.13160204284337076
random_noise,add_random_noise__low_pass_gaussian__rainbow_border,20,24,1728,18.341576027643,99.64067860166284,0.09852445387202197,1.4110295234095005
random_noise,add_random_noise__high_pass_gaussian__rainbow_border,20,24,1728,18.703431663051067,86.93679866243582,0.04594342211281331,0.7168248577674888
random_noise,low_pass_gaussian__high_pass_gaussian__rainbow_border,20,24,1728,18.63610595344229,81.4254665437213,0.0069655658828441745,0.1031716957910143
random_noise,add_random_noise__low_pass_gaussian__high_pass_gaussian__rainbow_border,20,24,1728,18.63285979747269,86.52358449810089,0.0071418320492147415,0.10731094846998633
